code,name,listing_board
JAST,Jasnita Telekomindo Tbk.,Pengembangan
JATI,Informasi Teknologi Indonesia,Pengembangan
JAWA,Jaya Agra Wattie Tbk.,Pengembangan
JAYA,Armada Berjaya Trans Tbk.,Pengembangan
JECC,Jembo Cable Company Tbk.,Pengembangan
JGLE,Graha Andrasentra Propertindo,Pemantauan Khusus
JIHD,Jakarta International Hotels &,Pengembangan
JKON,Jaya Konstruksi Manggala Prata,Utama
JKSW,Jakarta Kyoei Steel Works Tbk.,Pemantauan Khusus
JMAS,Asuransi Jiwa Syariah Jasa Mit,Pengembangan
JPFA,Japfa Comfeed Indonesia Tbk.,Utama
JRPT,Jaya Real Property Tbk.,Pengembangan
JSKY,Sky Energy Indonesia Tbk.,Pemantauan Khusus
JSMR,Jasa Marga (Persero) Tbk.,Utama
JSPT,Jakarta Setiabudi Internasiona,Pengembangan
JTPE,Jasuindo Tiga Perkasa Tbk.,Utama
KAEF,Kimia Farma Tbk.,Pengembangan
KARW,Meratus Jasa Prima Tbk.,Pemantauan Khusus
KAYU,Darmi Bersaudara Tbk.,Pemantauan Khusus
KBAG,Karya Bersama Anugerah Tbk.,Pemantauan Khusus
KBLI,KMI Wire & Cable Tbk.,Utama
KBLM,Kabelindo Murni Tbk.,Pengembangan
KBLV,First Media Tbk.,Pemantauan Khusus
KBRI,Kertas Basuki Rachmat Indonesi,Pemantauan Khusus
KDSI,Kedawung Setia Industrial Tbk.,Pengembangan
KDTN,Puri Sentul Permai Tbk.,Pengembangan
KEEN,Kencana Energi Lestari Tbk.,Utama
KEJU,Mulia Boga Raya Tbk.,Pengembangan
KETR,Ketrosden Triasmitra Tbk.,Pengembangan
KIAS,Keramika Indonesia Assosiasi T,Pemantauan Khusus
KICI,Kedaung Indah Can Tbk,Pengembangan
KIJA,Kawasan Industri Jababeka Tbk.,Utama
KING,Hoffmen Cleanindo Tbk.,Akselerasi
KINO,Kino Indonesia Tbk.,Pengembangan
KIOS,Kioson Komersial Indonesia Tbk,Pengembangan
KJEN,Krida Jaringan Nusantara Tbk.,Pengembangan
KKES,Kusuma Kemindo Sentosa Tbk.,Pemantauan Khusus
KKGI,Resource Alam Indonesia Tbk.,Utama
KLAS,Pelayaran Kurnia Lautan Semest,Pengembangan
KLBF,Kalbe Farma Tbk.,Utama
KLIN,Klinko Karya Imaji Tbk.,Akselerasi
KMDS,Kurniamitra Duta Sentosa Tbk.,Pengembangan
KMTR,Kirana Megatara Tbk.,Pengembangan
KOBX,Kobexindo Tractors Tbk.,Pengembangan
KOCI,Kokoh Exa Nusantara Tbk.,Pengembangan
KOIN,Kokoh Inti Arebama Tbk,Pemantauan Khusus
